symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
ELPW,Elong Power Holding Limited Class A Ordinary Shares,806,2023-05-01,2026-07-17,3162.879864463565,530028.0078163147,4022820.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ELTX,"Elicio Therapeutics, Inc. Common Stock",1367,2021-02-05,2026-07-17,143.08412368386774,1019155.0096035004,71592847.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ENGN,enGene Therapeutics Inc. Common Stock,1118,2022-02-01,2026-07-17,122.68100864543985,1676096.997642517,121920828.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ENTA,"Enanta Pharmaceuticals, Inc. Common Stock",2514,2016-07-18,2026-07-17,109.4047781967177,2514403.4640312195,399536941.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
EQ,"Equillium, Inc. Common Stock",1949,2018-10-12,2026-07-17,164.34309721343192,806066.5088534355,163756780.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
FABC,"Fabric.AI, Inc. Common Stock",2514,2016-07-18,2026-07-17,127.02554782779858,385784.5044374466,16900936.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
FATE,"Fate Therapeutics, Inc. Common Stock",2514,2016-07-18,2026-07-17,98.02989066920838,1842950.9443998337,324034537.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
FBRX,"Forte Biosciences, Inc. Common Stock",2327,2017-04-13,2026-07-17,124.342609827579,3629101.521492005,1000594999.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
FBYD,"Falcon's Beyond Global, Inc. Class A Common Stock",696,2023-10-06,2026-07-17,144.53878520604414,772840.5042171478,1345788553.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
FDMT,"4D Molecular Therapeutics, Inc. Common Stock",1404,2020-12-11,2026-07-17,93.15074580546695,6696930.994987488,574516031.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
FFAI,Faraday Future Intelligent Electric Inc. Class A Common Stock,1474,2020-09-02,2026-07-17,149.41504127088962,7672218.649917841,48741156.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
FGNX,FG Nexus Inc. Common Stock ,2514,2016-07-18,2026-07-17,158.21748124425255,1226653.977355957,34820063.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
FOSL,"Fossil Group, Inc. Common Stock",2514,2016-07-18,2026-07-17,99.3509136662972,2147077.942276001,244680616.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
FRMM,"Forum Markets, Incorporated Common Stock",2276,2017-06-27,2026-07-17,260.7336073791432,3814480.991339683,76059767.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
FTCI,"FTC Solar, Inc. Common Stock",1311,2021-04-28,2026-07-17,111.5745228277057,572854.9873828888,61620382.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
FTH,"Faeth Therapeutics, Inc. Common Stock",1368,2021-02-04,2026-07-17,226.36217033008435,453858.9852809906,666896366.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
FULC,"Fulcrum Therapeutics, Inc. Common Stock",1759,2019-07-18,2026-07-17,99.75699251147788,5834760.133552551,243119550.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
FWDI,"Forward Industries, Inc. Common Stock",2514,2016-07-18,2026-07-17,123.45483036566227,4777233.436846733,299838991.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
GALT,Galectin Therapeutics Inc. Common Stock,2514,2016-07-18,2026-07-17,94.10369518960763,1059424.45012331,274952549.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
GAME,"GameSquare Holdings, Inc. Common Stock",2129,2018-01-26,2026-07-17,98.0982085695231,729656.8795979023,32803223.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
GANX,"Gain Therapeutics, Inc. Common Stock",1338,2021-03-19,2026-07-17,108.82198505074771,1222653.0098676682,72938405.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
GEOS,Geospace Technologies Corporation Common Stock (Texas),2514,2016-07-18,2026-07-17,99.6328020381442,2562889.959859848,87962100.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
GLSI,"Greenwich LifeSciences, Inc. Common Stock",1458,2020-09-25,2026-07-17,96.89349401323096,2174406.419849396,239548355.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
GNPX,"Genprex, Inc. Common Stock",2086,2018-03-29,2026-07-17,274.22156472320836,546423.4662771225,3872859.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
GOSS,"Gossamer Bio, Inc. Common Stock",1869,2019-02-08,2026-07-17,131.3791011804458,6549484.5048666,83152827.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
GPRO,"GoPro, Inc. Class A Common Stock",2514,2016-07-18,2026-07-17,117.13285819047783,5792138.582205772,114178089.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
GRML,Greenland Mines Ltd. Common Stock,1057,2022-04-29,2026-07-17,134.0610797974477,823879.1187852621,25351004.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
GSIT,GSI Technology Common Stock,2514,2016-07-18,2026-07-17,195.79441924685167,5481870.047664642,208252590.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
GTBP,"GT Biopharma, Inc. Common Stock",2088,2018-03-27,2026-07-17,125.89998182112554,398574.2966115474,15780098.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
GUTS,"Fractyl Health, Inc. Common Stock",615,2024-02-02,2026-07-17,122.58919871308596,1432086.0327869654,128505660.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
GXAI,Gaxos.ai Inc. Common Stock,857,2023-02-15,2026-07-17,154.93366085814358,430493.0077195167,11037529.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
HCTI,"Healthcare Triangle, Inc. Common Stock",1194,2021-10-13,2026-07-17,181.40047812733897,672077.3941383362,3731121.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
HIT,"Health In Tech, Inc. Class A Common Stock",391,2024-12-23,2026-07-17,114.07709249444864,464793.49269866943,74080634.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
HSDT,Solana Company Class A Common Stock (DE),2514,2016-07-18,2026-07-17,184.26660201238315,894430.0031721592,98381547.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
HUBC,Hub Cyber Security Ltd. Ordinary Shares,1138,2022-01-03,2026-07-17,309.37078632318793,922894.5,3996188.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
HUMA,"Humacyte, Inc. Common Stock",1412,2020-12-01,2026-07-17,115.4859681054382,5711302.089053392,147576101.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
HURA,"TuHURA Biosciences, Inc. Common Stock",2514,2016-07-18,2026-07-17,135.28828583114935,719113.5048031807,143285688.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
HYFT,MindWalk Holdings Corp. Common Stock,2514,2016-07-18,2026-07-17,110.72151073801976,614292.0122265816,68199324.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
HYPD,"Hyperion DeFi, Inc. Common Stock",2130,2018-01-25,2026-07-17,137.29963955896488,1749933.9699745178,41532227.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
IBIO,"iBio, Inc. Common Stock",2514,2016-07-18,2026-07-17,114.55643042943149,1349602.484035492,68556414.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ICU,SeaStar Medical Holding Corporation Common Stock,1339,2021-03-18,2026-07-17,121.71214336283612,377199.0128517151,15988008.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
IFRX,InflaRx N.V. Common Stock,2183,2017-11-07,2026-07-17,108.01400693554103,760243.9999938011,134103253.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
IHRT,"iHeartMedia, Inc. Class A Common Stock",1771,2019-07-01,2026-07-17,93.94411335667763,2307613.0284428596,578913681.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
IMDX,Insight Molecular Diagnostics Inc. Common Stock,2514,2016-07-18,2026-07-17,106.20930142911295,392074.0117788315,153055392.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
IMRX,Immuneering Corporation Class A Common Stock,1246,2021-07-30,2026-07-17,102.98990586568232,5254137.272834778,300195945.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
INTS,"Intensity Therapeutics, Inc. Common stock",764,2023-06-30,2026-07-17,408.7483996165288,432736.11051750183,12838395.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
INV,"Innventure, Inc. Common Stock",1162,2021-11-29,2026-07-17,123.2986433353378,5156853.061437607,283230801.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
IPSC,"Century Therapeutics, Inc. Common Stock",1275,2021-06-18,2026-07-17,97.60071400423394,1320962.493994832,405798320.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
IRWD,"Ironwood Pharmaceuticals, Inc. Class A Common Stock",2514,2016-07-18,2026-07-17,100.32560722822758,6736612.450051308,635407747.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
IVVD,"Invivyd, Inc. Common Stock",1241,2021-08-06,2026-07-17,141.6358093991359,4032267.755484581,218746033.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
IXHL,Incannex Healthcare Inc. Common Stock,1098,2022-03-02,2026-07-17,173.23504549247244,2750668.7795300484,37927636.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
