symbol,name,lastsale,netchange,pctchange,marketCap,url,yahoo_symbol
AMPL,"Amplitude, Inc. Class A Common Stock",$9.60,-0.05,-0.518%,"1,273,144,762",/market-activity/stocks/ampl,AMPL
AMRX,"Amneal Pharmaceuticals, Inc. Class A Common Stock",$17.85,-0.19,-1.053%,"5,694,556,837",/market-activity/stocks/amrx,AMRX
AMSC,American Superconductor Corporation Common Stock,$33.025,-0.065,-0.196%,"1,575,109,046",/market-activity/stocks/amsc,AMSC
AMSF,"AMERISAFE, Inc. Common Stock",$33.90,0.35,1.043%,"634,057,837",/market-activity/stocks/amsf,AMSF
AMSS,AMASS Brands Inc. Common Stock,$1.29,0.05,4.032%,"14,957,654",/market-activity/stocks/amss,AMSS
AMST,Amesite Inc. Common Stock,$1.08,0.03,2.857%,"6,321,224",/market-activity/stocks/amst,AMST
AMTX,"Aemetis, Inc. (DE) Common Stock",$1.57,0.01,0.641%,"110,475,369",/market-activity/stocks/amtx,AMTX
AMZN,"Amazon.com, Inc. Common Stock",$247.23,-2.66,-1.064%,"2,659,480,165,862",/market-activity/stocks/amzn,AMZN
ANAB,"AnaptysBio, Inc. Common Stock",$58.00,3.85,7.11%,"1,717,291,898",/market-activity/stocks/anab,ANAB
ANDE,"Andersons, Inc. (The) Common Stock",$79.24,3.04,3.99%,"2,698,443,397",/market-activity/stocks/ande,ANDE
ANGH,Anghami Inc. Ordinary Shares,$3.2711,-0.1289,-3.791%,"29,651,893",/market-activity/stocks/angh,ANGH
ANGI,Angi Inc. Class A Common Stock,$6.12,-0.26,-4.075%,"248,000,436",/market-activity/stocks/angi,ANGI
ANGO,"AngioDynamics, Inc. Common Stock",$13.51,-0.63,-4.455%,"558,400,575",/market-activity/stocks/ango,ANGO
ANIK,Anika Therapeutics Inc. Common Stock,$15.25,-0.57,-3.603%,"202,910,766",/market-activity/stocks/anik,ANIK
ANIX,"Anixa Biosciences, Inc. Common Stock",$3.40,0.08,2.41%,"115,678,414",/market-activity/stocks/anix,ANIX
ANNA,"AleAnna, Inc. Class A Common Stock",$3.44,0.06,1.775%,"230,254,336",/market-activity/stocks/anna,ANNA
ANNX,"Annexon, Inc. Common Stock",$5.80,-0.09,-1.528%,"950,286,720",/market-activity/stocks/annx,ANNX
ANPA,Rich Sparkle Holdings Limited Ordinary Shares,$4.33,0.1299,3.093%,"65,390,599",/market-activity/stocks/anpa,ANPA
ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,$11.44,0.0052,0.045%,NA,/market-activity/stocks/ansc,ANSC
ANTA,Antalpha Platform Holding Company Class A Ordinary Shares,$4.04,-0.06,-1.463%,"97,017,946",/market-activity/stocks/anta,ANTA
ANTX,"AN2 Therapeutics, Inc. Common Stock",$4.68,0.01,0.214%,"168,555,633",/market-activity/stocks/antx,ANTX
AOUT,"American Outdoor Brands, Inc. Common Stock ",$13.89,-0.25,-1.768%,"173,723,897",/market-activity/stocks/aout,AOUT
APA,APA Corporation Common Stock,$35.22,0.94,2.742%,"12,449,221,395",/market-activity/stocks/apa,APA
APAC,StoneBridge Acquisition II Corporation Class A Ordinary Shares,$10.16,UNCH,--,NA,/market-activity/stocks/apac,APAC
APC,ARKO Petroleum Corp. Class A Common Stock,$20.78,0.03,0.145%,"261,209,234",/market-activity/stocks/apc,APC
APEI,"American Public Education, Inc. Common Stock",$50.71,-0.47,-0.918%,"930,198,276",/market-activity/stocks/apei,APEI
APGE,"Apogee Therapeutics, Inc. Common Stock",$134.00,-0.08,-0.06%,"10,102,176,250",/market-activity/stocks/apge,APGE
APLD,Applied Digital Corporation Common Stock,$25.79,-0.65,-2.458%,"7,369,996,411",/market-activity/stocks/apld,APLD
APLM,Apollomics Inc. Class A Ordinary Shares,$18.52,-4.75,-20.413%,"40,670,883",/market-activity/stocks/aplm,APLM
APM,Aptorum Group Limited Class A Ordinary Shares,$0.70,0.0076,1.098%,"5,700,630",/market-activity/stocks/apm,APM
APMC,AmperCap Acquisition Company Ordinary Shares,$9.91,0.01,0.101%,NA,/market-activity/stocks/apmc,APMC
APOG,"Apogee Enterprises, Inc. Common Stock",$41.03,-0.19,-0.461%,"856,226,103",/market-activity/stocks/apog,APOG
APP,Applovin Corporation Class A Common Stock,$424.54,-9.94,-2.288%,"142,619,967,600",/market-activity/stocks/app,APP
APPF,"AppFolio, Inc. Class A Common Stock",$179.73,-1.72,-0.948%,"6,354,989,136",/market-activity/stocks/appf,APPF
APPN,Appian Corporation Class A Common Stock,$26.11,-0.10,-0.382%,"1,916,790,453",/market-activity/stocks/appn,APPN
APPS,"Digital Turbine, Inc. Common Stock",$8.335,-0.295,-3.418%,"1,008,001,877",/market-activity/stocks/apps,APPS
APRE,"Aprea Therapeutics, Inc. Common stock",$0.7095,0.0195,2.826%,"8,785,580",/market-activity/stocks/apre,APRE
APUR,Aperture AC Class A Ordinary Shares,$9.94,UNCH,--,NA,/market-activity/stocks/apur,APUR
APVO,Aptevo Therapeutics Inc. Common Stock,$4.74,0.24,5.333%,"5,906,538",/market-activity/stocks/apvo,APVO
APWC,"Asia Pacific Wire & Cable Corporation, Ltd. Ordinary Shares (Bermuda)",$1.46,-0.01,-0.68%,"60,199,383",/market-activity/stocks/apwc,APWC
APYX,Apyx Medical Corporation Common Stock,$4.28,-0.06,-1.382%,"179,383,531",/market-activity/stocks/apyx,APYX
AQB,"AquaBounty Technologies, Inc. Common Stock",$0.9699,-0.0001,-0.01%,"4,992,273",/market-activity/stocks/aqb,AQB
AQMS,"Aqua Metals, Inc. Common Stock",$2.62,-0.02,-0.758%,"9,313,890",/market-activity/stocks/aqms,AQMS
AQST,"Aquestive Therapeutics, Inc. Common Stock",$4.12,0.18,4.569%,"516,923,991",/market-activity/stocks/aqst,AQST
ARAI,Arrive AI Inc. Common Stock,$0.363,-0.0102,-2.733%,"18,824,943",/market-activity/stocks/arai,ARAI
