symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
PRCT,PROCEPT BioRobotics Corporation Common Stock,1214,2021-09-15,2026-07-17,63.33152580565629,37198106.40821457,1093980182.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
PRGS,Progress Software Corporation Common Stock (DE),2514,2016-07-18,2026-07-17,52.30793462702608,27824081.79206848,1663074798.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
PRME,"Prime Medicine, Inc. Common Stock",937,2022-10-20,2026-07-17,91.4354693995905,11369026.40812397,565332622.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
PSKY,Paramount Skydance Corporation Class B Common Stock,2514,2016-07-18,2026-07-17,68.62161208564696,97310580.08165358,9792764258.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
PTGX,"Protagonist Therapeutics, Inc. Common Stock",2496,2016-08-11,2026-07-17,51.48261564218616,65322711.88201904,9062115569.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
PTLO,Portillo's Inc. Class A Common Stock,1188,2021-10-21,2026-07-17,56.686706760038454,10536227.624988556,354011704.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
PTON,"Peloton Interactive, Inc. Class A Common Stock",1710,2019-09-26,2026-07-17,64.33422013489715,61115400.14252663,2649910581.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
PVLA,"Palvella Therapeutics, Inc. Common Stock",2514,2016-07-18,2026-07-17,82.20404353121839,20132636.971282955,2255268791.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
PZZA,"Papa John's International, Inc. Common Stock",2514,2016-07-18,2026-07-17,51.42325245401206,35623603.97338867,1081160180.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
QCOM,QUALCOMM Incorporated Common Stock,2514,2016-07-18,2026-07-17,51.501021287795766,1434256660.406494,181056120000.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
QDEL,QuidelOrtho Corporation Common Stock,2514,2016-07-18,2026-07-17,85.32559889643088,28304788.6759758,1185159389.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
QS,QuantumScape Corporation Class A Common Stock,1486,2020-08-17,2026-07-17,88.70980319988536,175348179.29768562,3604750145.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
RARE,Ultragenyx Pharmaceutical Inc. Common Stock,2514,2016-07-18,2026-07-17,67.11033210800306,44957093.84908676,2883764479.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
REAL,"The RealReal, Inc. Common Stock",1772,2019-06-28,2026-07-17,77.82002993845948,33938191.113996506,1350667431.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
RELY,"Remitly Global, Inc. Common Stock",1208,2021-09-23,2026-07-17,56.18803524472988,55773616.675662994,5080838836.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
RIGL,"Rigel Pharmaceuticals, Inc. Common Stock",2514,2016-07-18,2026-07-17,70.29258804452428,13419470.54786682,750074323.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
RIOT,"Riot Platforms, Inc. Common Stock ",2514,2016-07-18,2026-07-17,84.44749022364086,349075755.6152344,6898887420.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
RIVN,"Rivian Automotive, Inc. Class A Common Stock",1174,2021-11-10,2026-07-17,70.44997395514176,506133377.8053284,23506086344.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
RLAY,"Relay Therapeutics, Inc. Common Stock",1508,2020-07-16,2026-07-17,71.15698227826276,17034029.841709137,3814480545.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
RMBS,Rambus Inc. Common Stock,2514,2016-07-18,2026-07-17,79.97296551366418,193783710.3466034,10969413932.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
ROOT,"Root, Inc. Class A Common Stock",1435,2020-10-28,2026-07-17,69.49525522229432,21917436.02619171,943722030.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
RPD,"Rapid7, Inc. Common Stock",2514,2016-07-18,2026-07-17,68.07381354255068,14462906.88199997,815333540.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
RUM,RUM Group Inc. Class A Common Stock,1321,2021-04-14,2026-07-17,72.18309935631311,16920608.124613762,2510660673.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
RUN,Sunrun Inc. Common Stock,2514,2016-07-18,2026-07-17,91.79604742320949,129273145.758152,2826809051.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
RVMD,"Revolution Medicines, Inc. Common Stock",1614,2020-02-13,2026-07-17,67.36163774233302,177215536.25183105,39576957366.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
RXRX,"Recursion Pharmaceuticals, Inc. Class A Common Stock",1319,2021-04-16,2026-07-17,70.62101448977738,80726594.18759346,1560570811.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
SAIL,"SailPoint, Inc. Common Stock",357,2025-02-13,2026-07-17,61.03456437707614,41496001.114463806,8893429393.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
SANA,"Sana Biotechnology, Inc. Common Stock",1368,2021-02-04,2026-07-17,91.40213746462528,11621082.479476929,876618509.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
SANM,Sanmina Corporation Common Stock,2514,2016-07-18,2026-07-17,70.54434495318779,100694714.54315186,10571617251.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
SBET,"Sharplink, Inc. Common Stock",2514,2016-07-18,2026-07-17,86.01156877495247,77011025.33578873,1203219771.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
SDGR,"Schrodinger, Inc. Common Stock",1619,2020-02-06,2026-07-17,52.37046097967555,18234345.72153091,1144721492.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
SERV,Serve Robotics Inc. Common Stock,591,2024-03-08,2026-07-17,87.94825795450181,50955104.14676666,393830077.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
SEZL,Sezzle Inc. Common Stock,713,2023-09-13,2026-07-17,86.9978937099551,61982402.126312256,5873631409.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
SHLS,"Shoals Technologies Group, Inc. Class A Common Stock",1373,2021-01-28,2026-07-17,86.19508269730952,38644922.2741127,1728049715.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
SION,"Sionna Therapeutics, Inc. Common Stock",361,2025-02-07,2026-07-17,77.83261993149434,10160740.330505371,2230877805.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
SITM,SiTime Corporation Common Stock,1671,2019-11-20,2026-07-17,78.98967363485004,117289963.92822266,16624414379.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
SLAB,"Silicon Laboratories, Inc. Common Stock",2514,2016-07-18,2026-07-17,57.20210491655505,53912513.30337525,7172557048.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
SMCI,"Super Micro Computer, Inc. Common Stock",2514,2016-07-18,2026-07-17,87.18533611428215,1054014423.4041214,14542298895.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
SMMT,Summit Therapeutics Inc. Common Stock ,2514,2016-07-18,2026-07-17,72.87487119438029,53506129.71754074,10718806127.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
SMTC,Semtech Corporation Common Stock,2514,2016-07-18,2026-07-17,68.4567900698838,132024282.1773529,11640169953.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
SNDX,"Syndax Pharmaceuticals, Inc. Common Stock",2514,2016-07-18,2026-07-17,56.855085666013515,31516262.96801567,2019987614.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
SNEX,StoneX Group Inc. Common Stock,2514,2016-07-18,2026-07-17,58.23264766171625,47339417.5219574,8162111573.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
SNPS,"Synopsys, Inc. Common Stock",2514,2016-07-18,2026-07-17,56.94183550597285,859672264.5141602,73580717614.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
SOFI,"SoFi Technologies, Inc. Common Stock  ",1390,2021-01-04,2026-07-17,55.74588566630714,1335180789.7603989,22165767936.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
