symbol,source,band_lo,band_hi,stop_pct,sma_n,entry_lag,hard_stop_days,stop_intraday,cost_bps,mode,n_trades,initial_capital,final_equity,total_pnl,win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,max_drawdown_pct,avg_days_held,max_win_pct,max_loss_pct,gross_profit,gross_loss
ACMR,data/nasdaq_10y/ACMR.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,28,10000,5351.97,-4648.03,14.29,-1.66,4.342,-2.66,1.632,0.272,-45.39,1.82,6.94,-10.347,1736.67,6384.7
ACNB,data/nasdaq_10y/ACNB.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,52,10000,6964.25,-3035.75,25.0,-0.668,2.642,-1.771,1.491,0.486,-31.78,3.27,7.278,-4.443,2870.68,5906.43
ACNB,data/nasdaq_10y/ACNB.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,52,10000,6525.36,-3474.64,25.0,-0.668,2.642,-1.771,1.491,0.497,-37.71,3.27,7.278,-4.443,3433.96,6908.6
ACNT,data/nasdaq_10y/ACNT.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,50,10000,10304.73,304.73,28.0,0.22,6.757,-2.322,2.91,1.037,-28.7,2.92,33.58,-6.289,8486.65,8182.04
ACNT,data/nasdaq_10y/ACNT.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,50,10000,11101.02,1101.02,28.0,0.22,6.757,-2.322,2.91,1.132,-32.17,2.92,33.58,-6.289,9460.29,8359.27
ACOG,data/nasdaq_10y/ACOG.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,6,10000,10196.32,196.32,16.67,0.467,12.801,-2.0,6.401,1.181,-9.61,2.0,12.801,-2.0,1280.08,1083.78
ACOG,data/nasdaq_10y/ACOG.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,6,10000,10280.08,280.08,16.67,0.467,12.801,-2.0,6.401,1.28,-8.87,2.0,12.801,-2.0,1280.08,1000.0
ACON,data/nasdaq_10y/ACON.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,14,10000,3291.42,-6708.58,0.0,-6.341,,-6.341,,0.0,-65.09,1.36,-2.0,-52.239,0.0,6708.55
ACON,data/nasdaq_10y/ACON.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,14,10000,1122.62,-8877.38,0.0,-6.341,,-6.341,,0.0,-88.09,1.36,-2.0,-52.239,0.0,8877.38
ACRS,data/nasdaq_10y/ACRS.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,39,10000,13069.34,3069.34,20.51,1.323,15.055,-2.22,6.781,1.379,-20.39,2.44,62.109,-8.38,11169.24,8099.88
ACRS,data/nasdaq_10y/ACRS.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,39,10000,15161.54,5161.54,20.51,1.323,15.055,-2.22,6.781,1.75,-22.1,2.44,62.109,-8.38,12044.26,6882.72
ACRV,data/nasdaq_10y/ACRV.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,14,10000,7512.66,-2487.34,0.0,-2.018,,-2.018,,0.0,-23.34,1.86,0.0,-4.317,0.0,2487.37
ACRV,data/nasdaq_10y/ACRV.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,14,10000,7175.28,-2824.72,0.0,-2.018,,-2.018,,0.0,-26.78,1.86,0.0,-4.317,0.0,2824.72
ACT,data/nasdaq_10y/ACT.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,24,10000,10941.74,941.74,37.5,0.452,3.752,-1.529,2.454,1.364,-13.97,4.79,16.586,-4.234,3526.51,2584.52
ACT,data/nasdaq_10y/ACT.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,24,10000,11083.91,1083.91,37.5,0.452,3.752,-1.529,2.454,1.473,-11.96,4.79,16.586,-4.234,3376.9,2292.99
ACTG,data/nasdaq_10y/ACTG.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,37,10000,5450.02,-4549.98,16.22,-1.597,2.055,-2.304,0.892,0.163,-44.39,2.68,6.706,-8.721,883.77,5433.7
