symbol,mode,signal,entry,exit,days_held,entry_px,exit_px,ret_pct,pnl_eur,reason
NVDA,固定仓位,2015-11-16,2015-11-18,2015-11-23,3,0.756,0.7533,-0.454,-45.45,收盘价低于入场价
NVDA,固定仓位,2015-12-21,2015-12-23,2015-12-28,2,0.8054,0.7893,-2.1,-210.0,t4 日内止损
NVDA,固定仓位,2016-01-22,2016-01-26,2016-01-27,1,0.6992,0.6852,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2016-02-17,2016-02-19,2016-02-26,5,0.7416,0.7718,3.974,397.36,收盘价低于 SMA5
NVDA,固定仓位,2016-05-24,2016-05-26,2016-06-03,5,1.1191,1.1395,1.718,171.82,收盘价低于 SMA5
NVDA,固定仓位,2016-07-11,2016-07-13,2016-07-21,6,1.2939,1.3047,0.734,73.37,收盘价低于 SMA5
NVDA,固定仓位,2016-08-11,2016-08-15,2016-08-17,2,1.544,1.5131,-2.1,-210.0,t4 日内止损
NVDA,固定仓位,2016-12-15,2016-12-19,2016-12-28,6,2.4998,2.6872,7.398,739.78,收盘价低于 SMA5
NVDA,固定仓位,2017-01-24,2017-01-26,2017-01-31,3,2.6971,2.6855,-0.529,-52.87,收盘价低于入场价
NVDA,固定仓位,2017-05-19,2017-05-23,2017-06-02,7,3.3783,3.5413,4.724,472.38,收盘价低于 SMA5
NVDA,固定仓位,2017-07-07,2017-07-11,2017-07-24,9,3.8431,4.0963,6.488,648.84,收盘价低于 SMA5
NVDA,固定仓位,2017-08-22,2017-08-24,2017-08-29,3,4.0762,4.0641,-0.397,-39.66,收盘价低于入场价
NVDA,固定仓位,2017-09-27,2017-09-29,2017-10-20,15,4.4113,4.8587,10.042,1004.15,收盘价低于 SMA5
NVDA,固定仓位,2018-01-17,2018-01-19,2018-02-01,9,5.6821,5.9386,4.415,441.53,收盘价低于 SMA5
NVDA,固定仓位,2018-02-13,2018-02-15,2018-02-21,3,6.0868,5.9636,-2.124,-212.44,收盘价低于入场价
NVDA,固定仓位,2018-05-23,2018-05-25,2018-06-07,8,6.1631,6.4998,5.364,536.37,收盘价低于 SMA5
NVDA,固定仓位,2018-06-28,2018-07-02,2018-07-03,1,5.989,5.8692,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2018-07-05,2018-07-09,2018-07-13,4,6.1623,6.1641,-0.072,-7.19,收盘价低于 SMA5
NVDA,固定仓位,2018-08-21,2018-08-23,2018-09-05,8,6.5972,6.8873,4.297,429.67,收盘价低于 SMA5
NVDA,固定仓位,2019-01-11,2019-01-15,2019-01-17,2,3.7111,3.6368,-2.1,-210.0,t4 日内止损
NVDA,固定仓位,2019-06-27,2019-07-01,2019-07-02,1,4.1236,4.0411,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2020-02-18,2020-02-20,2020-02-21,1,7.6738,7.5203,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2020-02-26,2020-02-28,2020-03-02,1,6.7176,6.5832,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2020-05-07,2020-05-11,2020-05-12,1,8.0246,7.8642,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2020-07-06,2020-07-08,2020-07-13,3,10.1689,10.0059,-1.703,-170.29,收盘价低于入场价
NVDA,固定仓位,2020-07-27,2020-07-29,2020-08-07,7,10.4172,11.1479,6.914,691.35,收盘价低于 SMA5
NVDA,固定仓位,2020-11-25,2020-11-30,2020-12-03,3,13.3437,13.3422,-0.112,-11.15,收盘价低于入场价
NVDA,固定仓位,2021-02-02,2021-02-04,2021-02-17,8,13.6093,14.8461,8.988,898.76,收盘价低于 SMA5
NVDA,固定仓位,2021-03-26,2021-03-30,2021-04-19,13,12.8244,15.3053,19.245,1924.47,收盘价低于 SMA5
NVDA,固定仓位,2021-06-22,2021-06-24,2021-07-08,9,19.1393,19.8341,3.53,353.05,收盘价低于 SMA5
NVDA,固定仓位,2021-08-04,2021-08-06,2021-08-10,2,20.2958,19.8899,-2.1,-210.0,t4 日内止损
NVDA,固定仓位,2021-10-28,2021-11-01,2021-11-10,7,25.7425,29.3626,13.963,1396.28,收盘价低于 SMA5
NVDA,固定仓位,2022-01-26,2022-01-28,2022-02-03,4,22.7681,23.8726,4.751,475.11,收盘价低于 SMA5
NVDA,固定仓位,2022-07-18,2022-07-20,2022-07-22,2,17.7577,17.4025,-2.1,-210.0,t4 日内止损
NVDA,固定仓位,2022-09-08,2022-09-12,2022-09-13,1,14.4691,13.7679,-4.947,-494.66,t3 日内止损
NVDA,固定仓位,2022-10-21,2022-10-25,2022-10-26,1,13.2282,12.8372,-3.056,-305.6,t3 日内止损
NVDA,固定仓位,2022-10-27,2022-10-31,2022-11-02,2,13.4636,13.1944,-2.1,-210.0,t4 日内止损
NVDA,固定仓位,2022-11-08,2022-11-10,2022-11-16,4,15.7111,15.8707,0.916,91.59,收盘价低于 SMA5
NVDA,固定仓位,2023-01-13,2023-01-18,2023-01-19,1,17.3385,16.9917,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2023-02-13,2023-02-15,2023-02-16,1,22.7135,22.0839,-2.872,-287.19,t3 日内止损
NVDA,固定仓位,2023-03-29,2023-03-31,2023-04-05,3,27.7201,26.826,-3.326,-332.57,收盘价低于入场价
NVDA,固定仓位,2023-05-15,2023-05-17,2023-05-23,4,30.1162,30.6252,1.59,159.0,收盘价低于 SMA5
NVDA,固定仓位,2023-07-17,2023-07-19,2023-07-20,1,46.9855,46.0458,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2023-07-25,2023-07-27,2023-08-02,4,45.8108,44.1829,-3.653,-365.34,收盘价低于入场价
NVDA,固定仓位,2023-10-06,2023-10-10,2023-10-13,3,45.7127,45.3764,-0.836,-83.58,收盘价低于入场价
NVDA,固定仓位,2023-12-05,2023-12-07,2023-12-20,9,46.5133,48.0256,3.151,315.14,收盘价低于 SMA5
NVDA,固定仓位,2024-01-05,2024-01-09,2024-01-31,15,53.0457,61.4178,15.683,1568.28,收盘价低于 SMA5
NVDA,固定仓位,2024-02-01,2024-02-05,2024-02-06,1,69.209,67.8248,-2.1,-210.0,t3 日内止损
