策略分组,标的,近252日年化波动率_%,近252日日均成交额,近20日收益_%,近60日收益_%,收盘相对SMA50_%,历史交易日数,交易数,胜率 (%),盈利因子,最大回撤 (%),累计收益率 (%)
高流动性－低波动,CG,36.29866661929186,152855156.6713333,2.8348224986420867,-10.159904852759228,1.898626684352811,2514,20,50.0,2.664,-9.67,34.610699999999994
高流动性－低波动,CHCO,19.754223340737692,11281124.306488037,6.796720872857431,9.149378923229756,6.031680746735035,2514,11,18.18,1.627,-6.76,4.7612999999999905
高流动性－低波动,CHDN,33.167344069983415,71686391.15142822,-4.894074837560957,-5.610529970978451,-3.612995282618492,2514,11,27.27,0.711,-12.49,-5.264400000000002
高流动性－低波动,CHEF,38.7332660886375,27148114.877700806,1.7714830031247741,48.093349532414464,11.120008704778183,2514,22,22.73,0.759,-26.71,-7.910300000000003
高流动性－低波动,CHKP,38.97513673061845,159201319.455719,12.073901783193985,-3.2326276178926805,6.611802071365291,2514,16,31.25,0.871,-14.55,-2.7344000000000035
高流动性－低波动,CHRD,38.36536081597111,81134311.48529053,4.0448369443135235,-4.977369317258306,-2.079637207426077,2514,12,33.33,0.685,-15.0,-5.853700000000006
高流动性－低波动,CHRW,42.77600867665947,235763881.4353943,12.678343906763057,14.34055005275936,13.96693502830395,2514,17,41.18,2.207,-8.03,21.745799999999992
高流动性－低波动,CHTR,50.5966300693501,420713891.494751,4.0719255514236385,-45.82457332622276,-5.562451985498984,2514,16,50.0,0.23,-30.04,-26.999399999999994
高流动性－低波动,CINF,21.391670678296627,96925945.18203735,6.222089616788318,8.73277719406229,5.7051147500158494,2514,15,26.67,0.375,-21.71,-16.52530000000001
高流动性－低波动,CLMT,41.91692050289261,21959909.32750702,31.21937080868311,31.865771042759494,21.888753917699,2514,11,27.27,2.344,-23.15,34.1102
高流动性－低波动,CMCSA,29.49893924502925,798096416.0695553,6.063310708193526,-18.998977746885558,-1.4417060309853458,2514,13,23.08,0.248,-21.11,-18.989599999999996
高流动性－低波动,CME,22.919084284544567,586786560.5239868,-0.5398172760355591,-14.23120983492565,-5.819402805528117,2514,10,20.0,0.192,-7.79,-6.804100000000002
高流动性－低波动,CMPR,44.95140770904768,10995666.220092773,21.213907276014776,23.915660812194094,8.145221592631579,2514,9,11.11,0.188,-18.15,-21.425000000000004
高流动性－低波动,COKE,35.7580861631815,71269580.68389893,-0.44066752371628715,-3.502401202193761,0.5177754069812579,2514,14,64.29,13.316,-3.55,108.68849999999996
高流动性－低波动,COLB,29.890983780336605,80489196.72603607,8.805245527282946,14.620695442988962,8.573524502523888,2514,15,33.33,0.967,-23.9,-1.7567
高流动性－低波动,COLL,40.698976508607146,15302877.645683289,7.573049630870621,9.134907236281942,3.690680291755455,2514,15,20.0,0.966,-16.16,-0.9619000000000044
高流动性－低波动,COLM,39.657206204511354,32465593.395233154,-4.453805484875806,1.3891089207208607,-0.00031526721472330266,2514,14,35.71,1.985,-9.09,12.766299999999987
高流动性－低波动,COO,31.429124100725957,161754923.89068604,8.79987118813894,7.157801922580109,8.930111108221261,2514,13,30.77,1.024,-8.69,0.33680000000000376
高流动性－低波动,COST,19.741211596003268,2083962092.703247,-1.1119887491831237,-6.259840223742453,-3.7411301258632124,2514,14,42.86,1.191,-3.57,2.2845000000000004
高流动性－低波动,CPB,31.356569845525218,169671708.56056213,4.397164642787854,6.051874386890921,2.6117676661139955,2514,12,16.67,0.248,-5.9,-7.508199999999999
高流动性－低波动,CPRT,26.485011091977263,302110479.82463837,-8.666883796092007,-18.02256425125808,-10.554617781991071,2514,11,36.36,2.308,-3.66,13.880300000000002
高流动性－低波动,CRAI,38.05984023957897,21261202.10494995,23.619329838810188,10.841039503385552,15.680336779417337,2514,27,25.93,0.954,-23.09,-1.8154999999999921
高流动性－低波动,CRUS,36.61018259592999,70324820.8065033,-16.522474842937118,-18.782743997145303,-13.714290022941455,2514,17,35.29,1.885,-12.51,24.657799999999995
高流动性－低波动,CRVL,41.61727722137492,12200490.948867798,5.4160294716490975,7.49128767030065,1.8572026905601557,2514,19,31.58,1.584,-15.32,14.307399999999992
高流动性－低波动,CRWD,47.46127149687381,1288815458.3740234,18.61110660556793,74.0636024841471,18.092082522132902,1784,10,50.0,1.388,-7.29,3.7588999999999873
高流动性－低波动,CSCO,32.62900781233423,1518460281.8660736,-6.35770320889627,24.65478690116263,-3.458718245980641,2514,12,33.33,2.581,-6.25,23.933300000000003
高流动性－低波动,CSGP,41.47836298115952,248778315.68775177,-1.1288185362366199,-23.18803111934945,-5.662766043370738,2514,10,30.0,0.284,-8.14,-8.346699999999995
高流动性－低波动,CSWC,19.09196917931796,13457568.061065674,5.744124112788218,2.835379179388031,3.454438118136949,2514,16,37.5,1.732,-4.93,9.994999999999997
高流动性－低波动,CSX,22.317654329859458,500315209.01584625,11.220685540291274,17.531263643638372,8.016874304472,2514,14,35.71,2.794,-5.09,18.783099999999987
高流动性－低波动,CTAS,22.651719072742452,358638005.17578125,19.666367951060426,17.055990302028956,16.677755993927,2514,16,31.25,0.86,-12.23,-2.6283999999999974
