screen,symbol,source,band_lo,band_hi,stop_pct,sma_n,entry_lag,hard_stop_days,stop_intraday,cost_bps,mode,n_trades,initial_capital,final_equity,total_pnl,win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,max_drawdown_pct,avg_days_held,max_win_pct,max_loss_pct,gross_profit,gross_loss
复利；至少20笔交易；按盈利因子降序,NMRK,data/nasdaq_10y/NMRK.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,40,10000,17447.31,7447.31,35.0,1.594,8.035,-1.875,4.286,2.1,-9.61,4.03,24.142,-3.71,14218.01,6771.29
复利；至少20笔交易；按盈利因子降序,PHVS,data/nasdaq_10y/PHVS.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,24,10000,19957.57,9957.57,12.5,6.744,69.698,-2.25,30.98,2.097,-24.47,1.71,202.789,-5.451,19031.94,9074.63
复利；至少20笔交易；按盈利因子降序,ECOR,data/nasdaq_10y/ECOR.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,26,10000,16207.95,6207.95,26.92,2.304,14.165,-2.066,6.858,2.088,-10.97,2.88,41.579,-3.478,11914.35,5706.28
复利；至少20笔交易；按盈利因子降序,ABEO,data/nasdaq_10y/ABEO.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,39,10000,24197.49,14197.49,28.21,2.993,15.386,-1.876,8.203,2.083,-15.58,3.15,76.0,-2.79,27302.68,13105.36
复利；至少20笔交易；按盈利因子降序,LOPE,data/nasdaq_10y/LOPE.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,38,10000,15557.72,5557.72,36.84,1.324,6.797,-1.868,3.638,2.082,-19.01,4.21,22.777,-6.276,10693.61,5135.68
复利；至少20笔交易；按盈利因子降序,MPB,data/nasdaq_10y/MPB.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,31,10000,14214.59,4214.59,41.94,1.235,5.456,-1.814,3.008,2.069,-9.81,4.65,14.931,-2.572,8155.64,3940.94
复利；至少20笔交易；按盈利因子降序,GRAB,data/nasdaq_10y/GRAB.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,22,10000,12752.78,2752.78,50.0,1.249,4.711,-2.214,2.128,2.066,-10.28,3.86,19.471,-2.709,5334.65,2582.0
复利；至少20笔交易；按盈利因子降序,CRBP,data/nasdaq_10y/CRBP.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,48,10000,21521.24,11521.24,29.17,1.852,11.157,-1.98,5.636,2.064,-14.92,2.77,34.932,-2.963,22347.2,10825.98
复利；至少20笔交易；按盈利因子降序,CLPS,data/nasdaq_10y/CLPS.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,24,10000,22582.97,12582.97,20.83,5.465,35.74,-2.502,14.284,2.063,-28.29,2.33,104.813,-6.514,24422.33,11839.33
复利；至少20笔交易；按盈利因子降序,PHUN,data/nasdaq_10y/PHUN.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,22,10000,50247.6,40247.6,13.64,32.503,259.256,-3.3,78.57,2.062,-39.05,2.27,767.238,-13.812,78137.84,37889.79
复利；至少20笔交易；按盈利因子降序,GLAD,data/nasdaq_10y/GLAD.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,28,10000,13237.55,3237.55,39.29,1.097,4.868,-1.343,3.624,2.057,-9.96,5.18,15.055,-2.0,6301.58,3064.15
复利；至少20笔交易；按盈利因子降序,WING,data/nasdaq_10y/WING.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,51,10000,17435.69,7435.69,35.29,1.229,7.062,-1.952,3.617,2.043,-20.87,4.86,19.119,-5.035,14566.88,7130.34
复利；至少20笔交易；按盈利因子降序,RBB,data/nasdaq_10y/RBB.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,33,10000,14835.64,4835.64,39.39,1.318,5.997,-1.723,3.48,2.035,-12.75,5.03,14.386,-3.83,9507.45,4671.71
复利；至少20笔交易；按盈利因子降序,AMAL,data/nasdaq_10y/AMAL.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,30,10000,13048.08,3048.08,36.67,0.993,5.047,-1.354,3.727,2.035,-9.87,4.47,15.722,-2.751,5992.39,2944.14
复利；至少20笔交易；按盈利因子降序,LGND,data/nasdaq_10y/LGND.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,56,10000,18539.4,8539.4,42.86,1.231,5.356,-1.863,2.874,2.03,-13.09,3.96,23.691,-5.643,16829.62,8290.52
复利；至少20笔交易；按盈利因子降序,POWL,data/nasdaq_10y/POWL.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,44,10000,18498.44,8498.44,29.55,1.724,10.577,-1.988,5.32,2.029,-16.94,3.61,44.668,-3.036,16754.9,8256.62
复利；至少20笔交易；按盈利因子降序,FULC,data/nasdaq_10y/FULC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,22,10000,15298.78,5298.78,18.18,2.402,23.081,-2.193,10.524,2.028,-13.06,2.77,33.452,-5.622,10452.35,5153.46
复利；至少20笔交易；按盈利因子降序,NEOV,data/nasdaq_10y/NEOV.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,27,10000,14865.86,4865.86,29.63,1.772,11.559,-2.349,4.92,2.024,-24.29,3.3,25.598,-4.146,9616.06,4750.48
复利；至少20笔交易；按盈利因子降序,CYCN,data/nasdaq_10y/CYCN.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,26,10000,17589.85,7589.85,26.92,3.221,20.824,-3.264,6.379,2.021,-9.94,3.04,70.49,-23.737,15023.05,7433.25
复利；至少20笔交易；按盈利因子降序,PCTY,data/nasdaq_10y/PCTY.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,55,10000,19817.74,9817.74,41.82,1.422,6.073,-1.92,3.162,2.014,-14.46,4.75,30.431,-4.001,19496.98,9678.99
复利；至少20笔交易；按盈利因子降序,NKTR,data/nasdaq_10y/NKTR.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,43,10000,20501.77,10501.77,27.91,2.173,13.265,-2.121,6.255,2.012,-17.01,3.16,67.426,-4.545,20875.37,10373.91
复利；至少20笔交易；按盈利因子降序,MLKN,data/nasdaq_10y/MLKN.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,53,10000,16911.88,6911.88,37.74,1.175,5.978,-1.735,3.445,2.01,-11.96,4.26,34.584,-3.462,13754.86,6842.84
复利；至少20笔交易；按盈利因子降序,SYNA,data/nasdaq_10y/SYNA.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,47,10000,19494.4,9494.4,40.43,1.593,7.01,-2.084,3.364,2.009,-11.23,3.98,23.477,-3.208,18907.54,9413.25
复利；至少20笔交易；按盈利因子降序,DLTH,data/nasdaq_10y/DLTH.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,51,10000,20680.77,10680.77,31.37,1.686,9.696,-1.976,4.906,2.003,-15.98,3.33,39.662,-3.218,21325.31,10644.09
